Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life
63rd Street Beach,2015-06-01 21:00:00,12.2,15.16,1.570235000996614,0.279,4.0,10.8
Montrose Beach,2015-06-01 21:00:00,10.6,76.36,1.570235000996614,0.328,3.0,11.0
Osterman Beach,2015-06-01 21:00:00,10.7,88.25,1.570235000996614,0.307,3.0,10.8
Calumet Beach,2015-06-01 22:00:00,13.0,6.45,1.570235000996614,0.19,3.0,11.0
Montrose Beach,2015-06-01 22:00:00,10.6,70.88,1.570235000996614,0.344,4.0,11.0
Osterman Beach,2015-06-01 22:00:00,10.7,93.72,1.570235000996614,0.301,4.0,10.8
Calumet Beach,2015-06-01 23:00:00,12.9,6.35,1.570235000996614,0.185,4.0,10.9
Montrose Beach,2015-06-01 23:00:00,10.5,68.39,1.570235000996614,0.318,4.0,11.0
Osterman Beach,2015-06-01 23:00:00,10.7,90.9,1.570235000996614,0.284,3.0,10.8
63rd Street Beach,2015-06-01 22:00:00,12.0,14.21,1.570235000996614,0.273,4.0,10.8
Calumet Beach,2015-06-02 00:00:00,13.0,6.08,1.570235000996614,0.182,4.0,11.0
Montrose Beach,2015-06-02 00:00:00,10.5,69.59,1.570235000996614,0.313,4.0,11.0
Osterman Beach,2015-06-02 00:00:00,10.7,84.13,1.570235000996614,0.266,3.0,10.8
63rd Street Beach,2015-06-02 00:00:00,11.8,12.76,1.570235000996614,0.29,4.0,10.8
Calumet Beach,2015-06-02 02:00:00,12.7,5.99,1.570235000996614,0.171,4.0,11.0
63rd Street Beach,2015-06-02 02:00:00,11.7,11.75,1.570235000996614,0.276,4.0,10.8
Montrose Beach,2015-06-02 02:00:00,10.3,62.08,1.570235000996614,0.282,4.0,11.0
Montrose Beach,2014-08-06 12:00:00,21.5,8.12,1.724,0.299,3.0,11.1
Osterman Beach,2014-08-06 12:00:00,21.4,7.96,1.408,0.257,4.0,10.9
Ohio Street Beach,2014-08-06 12:00:00,21.8,2.2,1.812,0.218,4.0,10.6
Calumet Beach,2014-08-06 13:00:00,23.0,0.39,1.463,0.126,4.0,10.9
Montrose Beach,2014-08-06 13:00:00,21.7,7.69,1.752,0.299,4.0,11.1
Osterman Beach,2014-08-06 13:00:00,21.6,5.89,1.431,0.236,3.0,10.9
Ohio Street Beach,2014-08-06 13:00:00,22.6,2.63,1.814,0.204,4.0,10.6
Calumet Beach,2014-08-06 14:00:00,23.2,0.41,1.475,0.135,4.0,10.9
Montrose Beach,2014-08-06 14:00:00,21.9,8.34,1.74,0.292,4.0,11.1
Osterman Beach,2014-08-06 14:00:00,21.9,7.24,1.408,0.245,4.0,10.9
Ohio Street Beach,2014-08-06 14:00:00,23.4,2.88,1.807,0.208,4.0,10.6
Calumet Beach,2014-08-06 15:00:00,23.5,0.43,1.477,0.137,4.0,10.9
Montrose Beach,2014-08-06 15:00:00,22.1,6.13,1.733,0.288,3.0,11.1
Osterman Beach,2014-08-06 15:00:00,22.2,5.48,1.412,0.251,4.0,10.9
Ohio Street Beach,2014-08-06 15:00:00,23.3,2.42,1.774,0.188,3.0,10.6
Calumet Beach,2014-08-06 16:00:00,23.6,0.43,1.486,0.139,3.0,10.9
Montrose Beach,2014-08-06 16:00:00,22.1,6.54,1.733,0.267,4.0,11.1
Osterman Beach,2014-08-06 16:00:00,22.4,5.85,1.414,0.228,4.0,10.9
Ohio Street Beach,2014-08-06 16:00:00,23.3,2.19,1.776,0.184,4.0,10.6
Osterman Beach,2015-06-02 02:00:00,10.5,73.59,1.570235000996614,0.262,4.0,10.8
Calumet Beach,2014-08-06 17:00:00,23.6,0.43,1.469,0.14,4.0,10.9
Montrose Beach,2014-08-06 17:00:00,22.0,6.79,1.706,0.266,4.0,11.1
Osterman Beach,2014-08-06 17:00:00,22.4,7.52,1.389,0.221,4.0,10.9
Ohio Street Beach,2014-08-06 17:00:00,23.4,2.25,1.765,0.205,4.0,10.6
Calumet Beach,2014-08-06 18:00:00,23.6,0.42,1.456,0.136,4.0,10.9
Montrose Beach,2014-08-06 18:00:00,22.0,6.49,1.715,0.255,4.0,11.1
Osterman Beach,2014-08-06 18:00:00,22.5,6.65,1.399,0.235,4.0,10.9
Ohio Street Beach,2014-08-06 18:00:00,23.4,2.4,1.777,0.203,4.0,10.6
Calumet Beach,2014-08-06 19:00:00,23.5,0.39,1.434,0.135,4.0,10.9
Montrose Beach,2014-08-06 19:00:00,22.0,5.98,1.702,0.258,3.0,11.1
Osterman Beach,2014-08-06 19:00:00,22.4,5.74,1.371,0.219,4.0,10.9
Ohio Street Beach,2014-08-06 19:00:00,23.1,2.21,1.751,0.179,4.0,10.6
Calumet Beach,2014-08-06 20:00:00,23.3,0.42,1.487,0.129,4.0,10.9
Montrose Beach,2014-08-06 20:00:00,22.0,6.12,1.738,0.25,3.0,11.1
Osterman Beach,2014-08-06 20:00:00,22.3,5.68,1.414,0.206,3.0,10.9
Ohio Street Beach,2014-08-06 20:00:00,23.0,2.29,1.811,0.187,3.0,10.6
Calumet Beach,2014-08-06 21:00:00,23.2,0.43,1.49,0.121,3.0,10.9
Montrose Beach,2014-08-06 21:00:00,21.9,5.51,1.721,0.242,3.0,11.1
Osterman Beach,2014-08-06 21:00:00,22.3,6.18,1.397,0.19,3.0,10.9
Ohio Street Beach,2014-08-06 21:00:00,22.8,3.11,1.782,0.172,3.0,10.6
Calumet Beach,2014-08-06 22:00:00,23.0,0.47,1.489,0.151,3.0,10.9
Montrose Beach,2014-08-06 22:00:00,21.9,5.23,1.747,0.216,4.0,11.1
Osterman Beach,2014-08-06 22:00:00,22.1,4.96,1.426,0.182,4.0,10.9
Ohio Street Beach,2014-08-06 22:00:00,22.5,3.11,1.813,0.202,3.0,10.6
Calumet Beach,2014-08-07 02:00:00,22.7,0.67,1.483,0.127,2.0,10.9
Montrose Beach,2014-08-07 02:00:00,21.6,4.37,1.732,0.212,3.0,11.1
Osterman Beach,2014-08-07 02:00:00,21.8,3.71,1.411,0.167,3.0,10.9
Ohio Street Beach,2014-08-07 02:00:00,21.7,1.65,1.816,0.135,3.0,10.6
Calumet Beach,2015-06-02 03:00:00,12.7,5.79,1.570235000996614,0.172,4.0,11.0
63rd Street Beach,2015-06-02 03:00:00,11.7,11.3,1.570235000996614,0.262,4.0,10.8
Montrose Beach,2015-06-02 03:00:00,10.3,64.31,1.570235000996614,0.3,3.0,11.0
Osterman Beach,2015-06-02 03:00:00,10.5,74.21,1.570235000996614,0.267,4.0,10.8
Calumet Beach,2015-06-02 04:00:00,12.6,5.92,1.570235000996614,0.164,4.0,11.0
Montrose Beach,2015-06-02 04:00:00,10.3,63.74,1.570235000996614,0.291,4.0,11.0
Osterman Beach,2015-06-02 04:00:00,10.4,73.32,1.570235000996614,0.257,4.0,10.8
Calumet Beach,2015-06-02 05:00:00,12.6,5.5,1.570235000996614,0.165,4.0,11.0
Montrose Beach,2015-06-02 05:00:00,10.0,54.53,1.570235000996614,0.294,4.0,11.0
Osterman Beach,2015-06-02 05:00:00,10.4,73.24,1.570235000996614,0.257,4.0,10.8
63rd Street Beach,2015-06-02 04:00:00,11.7,11.08,1.570235000996614,0.233,4.0,10.8
Calumet Beach,2015-06-02 06:00:00,12.5,5.91,1.570235000996614,0.155,5.0,11.0
63rd Street Beach,2015-06-02 06:00:00,11.7,10.5,1.570235000996614,0.238,4.0,10.8
Montrose Beach,2015-06-02 06:00:00,10.0,57.3,1.570235000996614,0.261,4.0,11.0
Osterman Beach,2015-06-02 06:00:00,10.3,73.74,1.570235000996614,0.237,4.0,10.8
Calumet Beach,2014-08-06 23:00:00,22.8,0.59,1.478,0.133,4.0,10.9
Montrose Beach,2014-08-06 23:00:00,21.8,5.16,1.749,0.202,3.0,11.1
Osterman Beach,2014-08-06 23:00:00,22.0,4.45,1.422,0.176,3.0,10.9
Ohio Street Beach,2014-08-06 23:00:00,22.3,2.71,1.816,0.158,3.0,10.6
Calumet Beach,2014-08-07 00:00:00,22.7,0.6,1.495,0.13,3.0,10.9
Montrose Beach,2014-08-07 00:00:00,21.8,4.7,1.769,0.187,3.0,11.0
Osterman Beach,2014-08-07 00:00:00,21.9,4.1,1.445,0.171,3.0,10.9
Ohio Street Beach,2014-08-07 00:00:00,22.1,2.57,1.837,0.141,3.0,10.6
Calumet Beach,2014-08-07 01:00:00,22.7,0.55,1.47,0.12,3.0,10.9
Montrose Beach,2014-08-07 01:00:00,21.7,4.44,1.724,0.205,3.0,11.1
Osterman Beach,2014-08-07 01:00:00,21.9,4.01,1.412,0.172,3.0,10.9
Ohio Street Beach,2014-08-07 01:00:00,21.9,2.08,1.804,0.142,3.0,10.6
Calumet Beach,2014-08-07 03:00:00,22.6,1.0,1.465,0.129,3.0,10.9
Montrose Beach,2014-08-07 03:00:00,21.8,4.79,1.699,0.204,3.0,11.1
Osterman Beach,2014-08-07 03:00:00,21.7,3.8,1.38,0.171,3.0,10.9
Ohio Street Beach,2014-08-07 03:00:00,21.5,1.45,1.766,0.14,3.0,10.6
Calumet Beach,2014-08-07 04:00:00,22.6,1.34,1.442,0.135,2.0,10.9
Montrose Beach,2014-08-07 04:00:00,21.6,4.23,1.703,0.208,4.0,11.1
Osterman Beach,2014-08-07 04:00:00,21.7,3.41,1.386,0.179,3.0,10.9
Ohio Street Beach,2014-08-07 04:00:00,21.5,1.33,1.751,0.127,4.0,10.6
Calumet Beach,2014-08-07 05:00:00,22.5,1.24,1.431,0.148,2.0,10.9
Montrose Beach,2014-08-07 05:00:00,21.5,3.89,1.718,0.202,2.0,11.0
Osterman Beach,2014-08-07 05:00:00,21.6,3.19,1.399,0.176,3.0,10.9
Ohio Street Beach,2014-08-07 05:00:00,21.4,1.22,1.768,0.129,2.0,10.6
Calumet Beach,2014-08-07 06:00:00,22.4,0.96,1.456,0.151,2.0,10.9
Montrose Beach,2014-08-07 06:00:00,21.4,3.98,1.702,0.219,8.0,11.0
Osterman Beach,2014-08-07 06:00:00,21.6,3.34,1.38,0.182,3.0,10.9
Ohio Street Beach,2014-08-07 06:00:00,21.4,1.1,1.776,0.129,3.0,10.6
Calumet Beach,2014-08-07 07:00:00,22.4,0.81,1.419,0.153,2.0,10.9
Montrose Beach,2014-08-07 07:00:00,21.4,4.14,1.743,0.215,3.0,11.0
Osterman Beach,2014-08-07 07:00:00,21.5,3.1,1.415,0.181,3.0,10.9
Ohio Street Beach,2014-08-07 07:00:00,21.4,1.1,1.771,0.125,3.0,10.6
Calumet Beach,2014-08-07 08:00:00,22.4,0.82,1.478,0.145,2.0,10.9
Montrose Beach,2014-08-07 08:00:00,21.5,4.29,1.721,0.199,3.0,11.0
Osterman Beach,2014-08-07 08:00:00,21.6,3.01,1.396,0.183,2.0,10.9
Ohio Street Beach,2014-08-07 08:00:00,21.5,0.97,1.811,0.128,3.0,10.6
Calumet Beach,2014-08-07 09:00:00,22.5,0.77,1.47,0.141,2.0,10.9
Montrose Beach,2014-08-07 09:00:00,21.6,3.32,1.753,0.195,3.0,11.0
Osterman Beach,2014-08-07 09:00:00,21.6,2.76,1.444,0.175,3.0,10.9
Ohio Street Beach,2014-08-07 09:00:00,21.6,1.01,1.799,0.126,3.0,10.6
Calumet Beach,2014-08-07 10:00:00,22.6,0.66,1.494,0.152,3.0,10.9
Montrose Beach,2014-08-07 10:00:00,21.8,3.04,1.752,0.189,3.0,11.0
Osterman Beach,2014-08-07 10:00:00,21.8,2.65,1.41,0.179,3.0,10.9
Ohio Street Beach,2014-08-07 10:00:00,21.8,0.96,1.829,0.159,3.0,10.6
Calumet Beach,2014-08-07 11:00:00,22.7,0.64,1.485,0.131,2.0,10.9
Montrose Beach,2014-08-07 11:00:00,21.9,2.57,1.773,0.201,4.0,11.0
Osterman Beach,2014-08-07 11:00:00,22.0,1.92,1.449,0.164,4.0,10.9
Ohio Street Beach,2014-08-07 11:00:00,22.0,0.93,1.843,0.134,3.0,10.6
Calumet Beach,2014-08-07 12:00:00,22.9,0.64,1.519,0.142,2.0,10.8
Montrose Beach,2014-08-07 12:00:00,22.1,2.19,1.766,0.186,3.0,11.0
Osterman Beach,2014-08-07 12:00:00,22.2,1.96,1.44,0.164,5.0,10.9
Ohio Street Beach,2014-08-07 12:00:00,22.2,0.88,1.846,0.13,4.0,10.6
Calumet Beach,2014-08-07 13:00:00,23.2,0.64,1.468,0.147,3.0,10.8
Montrose Beach,2014-08-07 13:00:00,22.2,2.0,1.751,0.187,4.0,11.0
Osterman Beach,2014-08-07 13:00:00,22.4,2.16,1.417,0.178,3.0,10.9
Ohio Street Beach,2014-08-07 13:00:00,22.3,0.87,1.796,0.163,2.0,10.6
Calumet Beach,2014-08-07 14:00:00,23.3,0.66,1.486,0.127,2.0,10.8
Montrose Beach,2014-08-07 14:00:00,22.4,1.27,1.767,0.188,3.0,11.0
Osterman Beach,2014-08-07 14:00:00,22.6,2.04,1.454,0.176,2.0,10.9
Ohio Street Beach,2014-08-07 14:00:00,22.9,1.03,1.842,0.158,2.0,10.6
Calumet Beach,2014-08-07 15:00:00,23.3,0.74,1.471,0.159,2.0,10.8
Montrose Beach,2014-08-07 15:00:00,22.6,1.01,1.708,0.235,3.0,11.0
Osterman Beach,2014-08-07 15:00:00,22.8,2.19,1.393,0.19,2.0,10.9
Ohio Street Beach,2014-08-07 15:00:00,23.6,1.4,1.794,0.133,3.0,10.6
Calumet Beach,2014-08-07 16:00:00,23.3,0.56,1.451,0.176,3.0,10.8
Montrose Beach,2014-08-07 16:00:00,22.6,1.21,1.725,0.257,2.0,11.0
Osterman Beach,2014-08-07 16:00:00,23.0,2.42,1.399,0.238,2.0,10.9
Ohio Street Beach,2014-08-07 16:00:00,23.5,1.07,1.802,0.164,2.0,10.6
Calumet Beach,2014-08-07 17:00:00,23.3,0.61,1.439,0.172,3.0,10.8
Montrose Beach,2014-08-07 17:00:00,22.8,1.41,1.694,0.267,3.0,11.0
Osterman Beach,2014-08-07 17:00:00,23.3,3.12,1.367,0.238,3.0,10.9
Ohio Street Beach,2014-08-07 17:00:00,23.3,0.78,1.778,0.187,3.0,10.6
Calumet Beach,2014-08-07 18:00:00,23.3,0.56,1.436,0.174,3.0,10.8
Montrose Beach,2014-08-07 18:00:00,22.8,1.42,1.715,0.276,3.0,11.0
Osterman Beach,2014-08-07 18:00:00,23.4,3.79,1.39,0.257,3.0,10.9
Ohio Street Beach,2014-08-07 18:00:00,23.2,0.76,1.789,0.183,3.0,10.6
Calumet Beach,2014-08-07 19:00:00,23.1,0.63,1.458,0.193,3.0,10.8
Montrose Beach,2014-08-07 19:00:00,22.9,2.47,1.728,0.307,3.0,11.0
Osterman Beach,2014-08-07 19:00:00,23.2,4.77,1.411,0.272,3.0,10.9
Ohio Street Beach,2014-08-07 19:00:00,23.2,1.68,1.797,0.209,3.0,10.6
Calumet Beach,2014-08-07 20:00:00,23.0,0.86,1.487,0.21,3.0,10.8
Montrose Beach,2014-08-07 20:00:00,22.9,2.66,1.756,0.315,3.0,11.0
Osterman Beach,2014-08-07 20:00:00,23.1,3.96,1.42,0.274,3.0,10.9
Ohio Street Beach,2014-08-07 20:00:00,23.0,1.36,1.824,0.192,3.0,10.6
Calumet Beach,2014-08-07 21:00:00,22.9,1.13,1.495,0.212,3.0,10.8
Montrose Beach,2014-08-07 21:00:00,22.8,3.44,1.774,0.292,3.0,11.0
Osterman Beach,2014-08-07 21:00:00,23.0,4.82,1.44,0.259,3.0,10.9
Ohio Street Beach,2014-08-07 21:00:00,22.8,1.19,1.812,0.189,3.0,10.6
Calumet Beach,2014-08-07 22:00:00,22.9,1.52,1.513,0.202,3.0,10.8
Montrose Beach,2014-08-07 22:00:00,22.6,3.0,1.778,0.311,3.0,11.0
Osterman Beach,2014-08-07 22:00:00,23.0,4.74,1.463,0.26,3.0,10.9
Ohio Street Beach,2014-08-07 22:00:00,22.6,1.11,1.83,0.191,3.0,10.6
Calumet Beach,2014-08-07 23:00:00,22.8,1.75,1.492,0.206,3.0,10.8
Montrose Beach,2014-08-07 23:00:00,22.6,3.59,1.741,0.287,3.0,11.0
Osterman Beach,2014-08-07 23:00:00,23.0,5.84,1.42,0.269,3.0,10.9
Ohio Street Beach,2014-08-07 23:00:00,22.5,1.23,1.824,0.171,3.0,10.6
Calumet Beach,2014-08-08 00:00:00,22.7,2.03,1.485,0.225,3.0,10.8
Montrose Beach,2014-08-08 00:00:00,22.5,4.3,1.764,0.32,3.0,11.0
Osterman Beach,2014-08-08 00:00:00,22.9,7.14,1.451,0.3,3.0,10.9
Ohio Street Beach,2014-08-08 00:00:00,22.4,1.58,1.84,0.192,3.0,10.6
Calumet Beach,2014-08-08 01:00:00,22.5,3.09,1.48,0.202,3.0,10.8
Montrose Beach,2014-08-08 01:00:00,22.1,5.24,1.747,0.326,3.0,11.0
Osterman Beach,2014-08-08 01:00:00,22.6,7.19,1.432,0.275,3.0,10.9
Ohio Street Beach,2014-08-08 01:00:00,22.2,2.17,1.829,0.182,3.0,10.6
Calumet Beach,2014-08-08 02:00:00,23.0,2.04,1.493,0.187,3.0,10.8
Montrose Beach,2014-08-08 02:00:00,22.1,5.3,1.751,0.328,3.0,11.0
Osterman Beach,2014-08-08 02:00:00,22.4,6.96,1.43,0.258,3.0,10.9
Ohio Street Beach,2014-08-08 02:00:00,22.1,1.85,1.834,0.191,3.0,10.6
Calumet Beach,2014-08-08 03:00:00,22.9,2.01,1.462,0.164,3.0,10.8
Montrose Beach,2014-08-08 03:00:00,22.0,6.07,1.735,0.276,3.0,11.0
Osterman Beach,2014-08-08 03:00:00,22.4,8.07,1.419,0.235,3.0,10.9
Ohio Street Beach,2014-08-08 03:00:00,22.0,2.14,1.788,0.18,3.0,10.6
Calumet Beach,2014-08-08 04:00:00,22.7,1.99,1.475,0.175,3.0,10.8
Montrose Beach,2014-08-08 04:00:00,21.9,4.67,1.748,0.267,3.0,11.0
Osterman Beach,2014-08-08 04:00:00,22.2,5.15,1.425,0.23,3.0,10.9
Ohio Street Beach,2014-08-08 04:00:00,22.0,8.91,1.799,0.169,3.0,10.6
Calumet Beach,2014-08-08 05:00:00,22.6,2.17,1.455,0.185,3.0,10.8
Montrose Beach,2014-08-08 05:00:00,21.9,4.28,1.723,0.271,3.0,11.0
Osterman Beach,2014-08-08 05:00:00,22.2,6.18,1.399,0.24,3.0,10.9
Ohio Street Beach,2014-08-08 05:00:00,21.9,131.91,1.801,0.172,3.0,10.6
Calumet Beach,2015-06-02 08:00:00,12.7,5.62,1.570235000996614,0.151,5.0,11.0
Calumet Beach,2014-08-08 06:00:00,22.5,3.12,1.449,0.195,3.0,10.8
Montrose Beach,2014-08-08 06:00:00,21.8,5.05,1.733,0.266,3.0,11.0
Osterman Beach,2014-08-08 06:00:00,22.1,6.96,1.403,0.25,3.0,10.9
Ohio Street Beach,2014-08-08 06:00:00,21.9,128.06,1.761,0.168,3.0,10.6
Calumet Beach,2014-08-08 07:00:00,22.4,2.85,1.454,0.221,3.0,10.8
Montrose Beach,2014-08-08 07:00:00,21.8,3.53,1.74,0.281,3.0,11.0
Osterman Beach,2014-08-08 07:00:00,22.1,8.48,1.416,0.26,3.0,10.9
Ohio Street Beach,2014-08-08 07:00:00,21.9,464.95,1.808,0.181,3.0,10.6
Calumet Beach,2014-08-08 08:00:00,22.3,2.28,1.501,0.253,3.0,10.8
Montrose Beach,2014-08-08 08:00:00,21.8,3.15,1.747,0.284,3.0,11.0
Osterman Beach,2014-08-08 08:00:00,22.0,7.35,1.418,0.261,3.0,10.8
Ohio Street Beach,2014-08-08 08:00:00,22.0,321.05,1.809,0.186,3.0,10.6
Calumet Beach,2014-08-08 09:00:00,22.4,2.22,1.494,0.26,3.0,10.8
Montrose Beach,2014-08-08 09:00:00,21.7,1.72,1.766,0.294,3.0,11.0
Osterman Beach,2014-08-08 09:00:00,22.2,7.88,1.442,0.277,3.0,10.8
Ohio Street Beach,2014-08-08 09:00:00,22.0,724.35,1.843,0.173,3.0,10.6
Calumet Beach,2014-08-08 10:00:00,22.5,2.14,1.468,0.239,4.0,10.8
Montrose Beach,2014-08-08 10:00:00,21.9,1.61,1.752,0.305,3.0,11.0
Osterman Beach,2014-08-08 10:00:00,22.4,9.48,1.426,0.296,3.0,10.8
Ohio Street Beach,2014-08-08 10:00:00,22.2,515.31,1.833,0.187,3.0,10.6
Calumet Beach,2014-08-08 11:00:00,22.7,2.21,1.485,0.226,4.0,10.8
Montrose Beach,2014-08-08 11:00:00,22.0,1.77,1.799,0.318,4.0,11.0
Osterman Beach,2014-08-08 11:00:00,22.6,7.86,1.482,0.297,4.0,10.8
Ohio Street Beach,2014-08-08 11:00:00,22.3,404.65,1.845,0.202,4.0,10.6
Calumet Beach,2014-08-08 12:00:00,23.1,2.36,1.516,0.238,3.0,10.8
Montrose Beach,2014-08-08 12:00:00,22.1,2.26,1.78,0.304,4.0,11.0
Osterman Beach,2014-08-08 12:00:00,22.7,6.94,1.472,0.286,4.0,10.8
Ohio Street Beach,2014-08-08 12:00:00,22.6,257.12,1.854,0.194,3.0,10.6
63rd Street Beach,2015-06-02 08:00:00,11.9,10.26,1.570235000996614,0.214,4.0,10.8
Montrose Beach,2015-06-02 08:00:00,10.3,61.97,1.570235000996614,0.255,4.0,11.0
Osterman Beach,2015-06-02 08:00:00,10.5,68.64,1.570235000996614,0.233,4.0,10.8
Calumet Beach,2014-08-08 13:00:00,23.3,3.46,1.515,0.227,3.0,10.8
Montrose Beach,2014-08-08 13:00:00,22.3,2.19,1.812,0.323,4.0,11.0
Osterman Beach,2014-08-08 13:00:00,22.8,6.69,1.491,0.278,4.0,10.8
Ohio Street Beach,2014-08-08 13:00:00,23.4,858.26,1.872,0.18,4.0,10.6
Calumet Beach,2014-08-08 14:00:00,23.2,2.36,1.512,0.197,4.0,10.8
Montrose Beach,2014-08-08 14:00:00,22.4,2.41,1.758,0.3,3.0,11.0
Osterman Beach,2014-08-08 14:00:00,23.1,5.88,1.45,0.279,4.0,10.8
Ohio Street Beach,2014-08-08 14:00:00,23.4,762.41,1.856,0.182,3.0,10.6
Calumet Beach,2014-08-08 15:00:00,23.2,2.02,1.481,0.203,3.0,10.8
Montrose Beach,2014-08-08 15:00:00,22.7,2.49,1.732,0.311,4.0,11.0
Osterman Beach,2014-08-08 15:00:00,23.3,5.79,1.437,0.267,4.0,10.8
Ohio Street Beach,2014-08-08 15:00:00,23.5,505.75,1.787,0.209,3.0,10.6
Calumet Beach,2014-08-08 16:00:00,23.2,1.59,1.483,0.209,3.0,10.8
Montrose Beach,2014-08-08 16:00:00,22.8,2.47,1.766,0.328,3.0,11.0
Osterman Beach,2014-08-08 16:00:00,24.0,7.99,1.43,0.286,3.0,10.8
Ohio Street Beach,2014-08-08 16:00:00,23.6,270.94,1.82,0.217,3.0,10.6
Calumet Beach,2014-08-08 17:00:00,23.3,1.6,1.446,0.191,3.0,10.8
Montrose Beach,2014-08-08 17:00:00,22.9,2.71,1.708,0.342,3.0,11.0
Osterman Beach,2014-08-08 17:00:00,23.9,11.23,1.405,0.283,3.0,10.8
Ohio Street Beach,2014-08-08 17:00:00,23.9,796.84,1.775,0.197,3.0,10.6
Calumet Beach,2014-08-08 18:00:00,23.2,1.14,1.498,0.194,3.0,10.8
Montrose Beach,2014-08-08 18:00:00,23.0,3.2,1.742,0.331,3.0,11.0
Osterman Beach,2014-08-08 18:00:00,23.7,11.56,1.425,0.272,3.0,10.8
Ohio Street Beach,2014-08-08 18:00:00,23.8,609.87,1.797,0.212,3.0,10.6
Calumet Beach,2014-08-08 19:00:00,23.2,1.0,1.503,0.197,4.0,10.8
Montrose Beach,2014-08-08 19:00:00,23.4,2.82,1.747,0.327,3.0,11.0
Osterman Beach,2014-08-08 19:00:00,23.5,12.27,1.412,0.289,3.0,10.8
Ohio Street Beach,2014-08-08 19:00:00,23.7,572.63,1.829,0.253,3.0,10.6
Calumet Beach,2014-08-08 20:00:00,23.1,1.02,1.526,0.222,4.0,10.8
Montrose Beach,2014-08-08 20:00:00,24.0,4.48,1.77,0.371,3.0,11.0
Osterman Beach,2014-08-08 20:00:00,23.8,13.84,1.455,0.311,3.0,10.8
Ohio Street Beach,2014-08-08 20:00:00,23.6,414.75,1.815,0.23,3.0,10.6
Calumet Beach,2014-08-08 21:00:00,23.1,1.37,1.484,0.248,4.0,10.8
Montrose Beach,2014-08-08 21:00:00,24.0,6.96,1.773,0.406,4.0,11.0
Osterman Beach,2014-08-08 21:00:00,23.7,16.86,1.461,0.351,4.0,10.8
Ohio Street Beach,2014-08-08 21:00:00,23.3,310.34,1.847,0.232,3.0,10.6
Calumet Beach,2014-08-08 22:00:00,23.0,2.08,1.498,0.246,4.0,10.8
Montrose Beach,2014-08-08 22:00:00,23.3,8.76,1.796,0.426,4.0,11.0
Osterman Beach,2014-08-08 22:00:00,23.6,19.52,1.476,0.365,4.0,10.8
Ohio Street Beach,2014-08-08 22:00:00,23.0,655.98,1.863,0.249,4.0,10.6
Calumet Beach,2014-08-08 23:00:00,23.0,2.15,1.496,0.225,4.0,10.8
Montrose Beach,2014-08-08 23:00:00,22.9,6.52,1.762,0.402,4.0,11.0
Osterman Beach,2014-08-08 23:00:00,23.3,19.67,1.433,0.359,4.0,10.8
Ohio Street Beach,2014-08-08 23:00:00,23.0,388.63,1.797,0.241,4.0,10.6
Calumet Beach,2014-08-09 00:00:00,23.0,1.76,1.489,0.214,4.0,10.8
Montrose Beach,2014-08-09 00:00:00,22.9,8.71,1.806,0.414,4.0,11.0
Osterman Beach,2014-08-09 00:00:00,23.1,14.1,1.488,0.363,4.0,10.8
Ohio Street Beach,2014-08-09 00:00:00,23.0,670.98,1.861,0.231,4.0,10.6
Calumet Beach,2015-06-02 09:00:00,12.9,5.76,1.570235000996614,0.148,4.0,11.0
Montrose Beach,2015-06-02 09:00:00,10.6,55.63,1.570235000996614,0.256,4.0,11.0
Osterman Beach,2015-06-02 09:00:00,10.7,62.2,1.570235000996614,0.211,4.0,10.8
Calumet Beach,2015-06-02 10:00:00,13.2,5.8,1.570235000996614,0.13,4.0,10.9
Montrose Beach,2015-06-02 10:00:00,11.2,56.33,1.570235000996614,0.239,4.0,11.0
Osterman Beach,2015-06-02 10:00:00,11.0,55.71,1.570235000996614,0.219,3.0,10.8
63rd Street Beach,2015-06-02 09:00:00,12.1,9.32,1.570235000996614,0.216,4.0,10.8
Calumet Beach,2015-06-02 11:00:00,13.5,5.3,1.570235000996614,0.134,4.0,10.9
63rd Street Beach,2015-06-02 11:00:00,12.7,8.1,1.570235000996614,0.205,4.0,10.8
Montrose Beach,2015-06-02 11:00:00,11.5,19.79,1.570235000996614,0.245,4.0,11.0
Osterman Beach,2015-06-02 11:00:00,11.6,35.95,1.570235000996614,0.221,4.0,10.8
Calumet Beach,2015-06-02 12:00:00,13.8,5.11,1.570235000996614,0.139,4.0,10.9
63rd Street Beach,2015-06-02 12:00:00,13.3,7.92,1.570235000996614,0.187,4.0,10.8
Montrose Beach,2015-06-02 12:00:00,12.5,50.04,1.570235000996614,0.207,4.0,11.0
Osterman Beach,2015-06-02 12:00:00,12.4,30.25,1.570235000996614,0.203,4.0,10.8
Calumet Beach,2015-06-02 13:00:00,14.2,5.13,1.570235000996614,0.158,4.0,11.0
63rd Street Beach,2015-06-02 13:00:00,14.4,14.14,1.570235000996614,0.209,4.0,10.8
Montrose Beach,2015-06-02 13:00:00,14.1,34.27,1.570235000996614,0.217,4.0,11.0
Osterman Beach,2015-06-02 13:00:00,12.6,21.17,1.570235000996614,0.195,4.0,10.8
Calumet Beach,2015-06-02 14:00:00,14.6,4.7,1.570235000996614,0.149,4.0,10.9
Calumet Beach,2015-06-03 11:00:00,15.2,4.79,1.570235000996614,0.122,3.0,11.0
